TCODE,TIMESTAMP,FREQ,BW,TXID,AMP,DEVCNT,X,Y,Z,TLW
25,2015-08-20T15:48:35,2412000000,22000000,2412244974914897032,-56.444442749,4,99,63,0,0
26,2015-08-20T15:48:35,2412000000,22000000,2670921200066495624,-86.0,1,12,68,0,0
26,2015-08-20T15:48:35,2412000000,22000000,2293743807856247944,-78.0,1,12,68,0,0
26,2015-08-20T15:48:35,2412000000,22000000,3840169614833681540,-66.0,4,95,64,0,0
26,2015-08-20T15:48:35,2412000000,22000000,2249551794131043464,-56.2105255127,4,100,63,0,0
26,2015-08-20T15:48:35,2412000000,22000000,3840169614769521742,-32.0408172607,6,35,34,0,0
26,2015-08-20T15:48:35,2412000000,22000000,2708356959627183185,-61.8461532593,3,71,13,0,0
26,2015-08-20T15:48:35,2412000000,22000000,2618003148496634930,-90.0,1,102,63,0,0
26,2015-08-20T15:48:35,2412000000,22000000,2848812985857999950,-58.0,3,75,37,0,0
26,2015-08-20T15:48:35,2412000000,22000000,2412244974914897032,-84.0,1,12,68,0,0
26,2015-08-20T15:48:35,2412000000,22000000,3840169614827193480,-57.7894744873,4,98,63,0,0
27,2015-08-20T15:48:35,2412000000,22000000,3840169614833681540,-66.0,4,93,62,0,0
27,2015-08-20T15:48:35,2412000000,22000000,2249551794131043464,-79.944442749,3,37,41,0,0
27,2015-08-20T15:48:35,2412000000,22000000,2848812985857999950,-36.0769233704,6,35,35,0,0
27,2015-08-20T15:48:35,2412000000,22000000,2708356959627183185,-54.3333320618,4,71,13,0,0
27,2015-08-20T15:48:35,2412000000,22000000,3840169614769521742,-34.0,6,36,34,0,0
27,2015-08-20T15:48:35,2412000000,22000000,3840169614827193480,-58.0,2,100,64,0,0
27,2015-08-20T15:48:35,2412000000,22000000,3840169614836171867,-92.0,1,102,63,0,0
28,2015-08-20T15:48:36,2412000000,22000000,3840169614833681540,-66.0,4,94,63,0,0
28,2015-08-20T15:48:36,2412000000,22000000,3840169614827193480,-57.9230766296,5,98,63,0,0
28,2015-08-20T15:48:36,2412000000,22000000,3840169614769521742,-33.6666679382,6,36,33,0,0
28,2015-08-20T15:48:36,2412000000,22000000,2670921200066495624,-58.0,3,100,64,0,0
28,2015-08-20T15:48:36,2412000000,22000000,2807435988211532850,-90.0,1,102,63,0,0
28,2015-08-20T15:48:36,2412000000,22000000,2251803602534663304,-58.0,2,100,63,0,0
28,2015-08-20T15:48:36,2412000000,22000000,2807435988254524507,-86.0,2,82,78,0,0
29,2015-08-20T15:48:36,2412000000,22000000,2412244974914897032,-57.0,2,101,63,0,0
29,2015-08-20T15:48:36,2412000000,22000000,2249551794131043464,-56.6666679382,2,100,64,0,0
29,2015-08-20T15:48:36,2412000000,22000000,3840169614827193480,-57.9069786072,5,98,64,0,0
29,2015-08-20T15:48:36,2412000000,22000000,3840169614769521742,-34.0,6,36,33,0,0
29,2015-08-20T15:48:36,2412000000,22000000,2251803602534663304,-78.0,2,22,53,0,0
29,2015-08-20T15:48:36,2412000000,22000000,2293743807856247944,-58.0,2,100,64,0,0
29,2015-08-20T15:48:36,2412000000,22000000,3840169614833681540,-66.0,5,93,62,0,0
29,2015-08-20T15:48:36,2412000000,22000000,2670921200066495624,-84.0,1,37,34,0,0
30,2015-08-20T15:48:36,2412000000,22000000,3840169614833681540,-66.0,4,93,63,0,0
30,2015-08-20T15:48:36,2412000000,22000000,3840169614827193480,-58.0,4,99,63,0,0
